Date,Open,High,Low,Close,Adj Close,Volume
2021-01-26,0.611639,0.617003,0.584914,0.601925,0.601925,11752814258
2021-01-27,0.601984,0.602277,0.532900,0.546444,0.546444,14958253350
2021-01-28,0.546379,1.010557,0.537225,0.915767,0.915767,154995882657
2021-01-29,3.189896,5.692129,2.358888,3.438420,3.438420,1852085504524
2021-01-30,3.412246,3.638171,1.639562,2.054217,2.054217,636883308236
2021-01-31,2.055281,3.301842,1.975905,2.711994,2.711994,623311735696
2021-02-01,2.701596,3.162142,2.439791,2.550038,2.550038,462061976756
2021-02-02,2.552645,2.549279,2.134716,2.298398,2.298398,225382476997
2021-02-03,2.296423,2.847433,2.268609,2.704501,2.704501,229274491181
2021-02-04,2.712202,4.220138,2.618941,3.889393,3.889393,951803033090
2021-02-05,3.871431,3.921549,3.176858,3.416299,3.416299,446640659130
2021-02-06,3.416031,4.244130,3.268455,4.192222,4.192222,432806603404
2021-02-07,4.185444,6.140783,3.947986,5.734924,5.734924,1038131903423
2021-02-08,5.703670,6.189522,4.716577,5.748727,5.748727,936742223565
2021-02-09,5.744898,6.056642,4.781989,5.104978,5.104978,535406021988
2021-02-10,5.107964,5.904424,4.989344,5.307402,5.307402,494005650988
2021-02-11,5.303616,5.412560,4.964961,5.066114,5.066114,277646305839
2021-02-12,5.064246,5.270867,4.472859,5.086341,5.086341,304217331547
2021-02-13,5.083152,5.200869,4.800817,4.823641,4.823641,190046981500
2021-02-14,4.823561,4.823561,4.117587,4.539874,4.539874,289267133768
2021-02-15,4.542150,4.642047,3.525178,4.110701,4.110701,359185438646
2021-02-16,4.103193,4.332817,3.716425,3.903513,3.903513,248671181051
2021-02-17,3.903659,4.008138,3.495144,3.594242,3.594242,216645317734
2021-02-18,3.593346,4.485990,3.566122,4.323034,4.323034,330496799292
2021-02-19,4.315245,4.319795,3.940175,4.000434,4.000434,213972171844
2021-02-20,3.999905,4.373808,3.745712,3.946707,3.946707,230445340703
2021-02-21,3.945564,4.239225,3.886576,4.062029,4.062029,177799055081
2021-02-22,4.066696,4.381796,3.415465,3.892825,3.892825,243949007209
2021-02-23,3.890890,3.895950,3.075204,3.430348,3.430348,173308360692
2021-02-24,3.431967,4.336059,3.345229,4.094377,4.094377,300335021445
2021-02-25,4.098662,4.183721,3.648000,3.669811,3.669811,172416534663
2021-02-26,3.667672,3.881448,3.563302,3.715136,3.715136,124696107527
2021-02-27,3.716610,3.821093,3.628071,3.685921,3.685921,94661862676
2021-02-28,3.686976,3.689677,3.318280,3.541098,3.541098,103768325592
2021-03-01,3.542467,3.773099,3.518376,3.709454,3.709454,109558401317
2021-03-02,3.709267,3.846286,3.613502,3.683102,3.683102,98652539121
2021-03-03,3.684259,3.799934,3.669634,3.693224,3.693224,79853110353
2021-03-04,3.692867,3.730047,3.500362,3.660217,3.660217,85611322195
2021-03-05,3.658715,3.716099,3.521119,3.630395,3.630395,85849508375
2021-03-06,3.629827,3.834425,3.613864,3.731076,3.731076,108343033319
2021-03-07,3.730765,3.815840,3.700924,3.814438,3.814438,69191528611
2021-03-08,3.814495,4.542781,3.781419,4.542781,4.542781,260628167020
2021-03-09,4.554136,4.566136,4.091936,4.220882,4.220882,179477379338
2021-03-10,4.218415,4.268912,3.977140,4.071832,4.071832,111566830930
2021-03-11,4.069883,4.120490,3.959882,4.061831,4.061831,89592046943
2021-03-12,4.062054,4.144392,3.961865,4.023272,4.023272,93606833437
2021-03-13,4.023533,4.538134,3.980188,4.538134,4.538134,135916763896
2021-03-14,4.534616,4.583235,4.259066,4.259066,4.259066,200053498846
2021-03-15,4.254624,4.341126,3.995911,4.139745,4.139745,126083575497
2021-03-16,4.139606,4.272890,4.026845,4.249959,4.249959,101070407235
2021-03-17,4.250114,4.268731,4.098416,4.183890,4.183890,62550057823
2021-03-18,4.182930,4.256563,3.933944,4.170020,4.170020,66113752521
2021-03-19,4.169613,4.330008,4.113457,4.225426,4.225426,69888309022
2021-03-20,4.224436,4.392840,4.210355,4.271229,4.271229,73379050804
2021-03-21,4.271934,4.311836,4.114535,4.144476,4.144476,55004028581
2021-03-22,4.146244,4.175365,3.974364,3.978162,3.978162,50443488403
2021-03-23,3.976698,4.060003,3.828595,3.888802,3.888802,75573714711
2021-03-24,3.886785,4.102115,3.722771,3.755918,3.755918,67890307219
2021-03-25,3.755685,3.804295,3.612754,3.735831,3.735831,78728091631
2021-03-26,3.734740,3.914222,3.727351,3.908651,3.908651,56239465066
2021-03-27,3.907835,4.016089,3.877948,3.939478,3.939478,54614037129
2021-03-28,3.939750,3.966640,3.842898,3.890313,3.890313,33360090983
2021-03-29,3.888840,3.972098,3.857931,3.931832,3.931832,39129391526
2021-03-30,3.931838,4.069004,3.908085,3.958744,3.958744,53534912448
2021-03-31,3.958888,4.000052,3.841083,3.927914,3.927914,47830541107
2021-04-01,3.927721,5.148117,3.926965,4.542806,4.542806,426243781552
2021-04-02,4.541466,4.562042,4.206897,4.231146,4.231146,159000622000
2021-04-03,4.230757,4.364677,4.094653,4.094653,4.094653,83423649137
2021-04-04,4.092623,4.263641,4.057302,4.212069,4.212069,68829505310
2021-04-05,4.212598,4.408033,4.143133,4.374503,4.374503,110933281802
2021-04-06,4.374025,4.779321,4.258713,4.736458,4.736458,191683689273
2021-04-07,4.736178,4.946284,4.284177,4.391816,4.391816,212570041283
2021-04-08,4.392347,4.589478,4.376106,4.581807,4.581807,78663898007
2021-04-09,4.581710,4.779994,4.510558,4.609608,4.609608,79248291245
2021-04-10,4.602694,4.862538,4.544943,4.771112,4.771112,102364228769
2021-04-11,4.763969,5.921808,4.723117,5.578495,5.578495,496700731306
2021-04-12,5.570686,5.603791,5.171359,5.306897,5.306897,201555540531
2021-04-13,5.300213,7.155450,5.300213,7.025336,7.025336,539565532210
2021-04-14,7.086303,10.710744,6.950139,9.117004,9.117004,1573878753353
2021-04-15,9.090719,13.997205,9.058379,13.615935,13.615935,1338867062807
2021-04-16,13.569594,32.604481,13.487467,27.280514,27.280514,5175496348217
2021-04-17,27.297527,27.920614,17.630594,21.186237,21.186237,2341991785483
2021-04-18,21.255684,26.083038,18.373083,23.895748,23.895748,1749583010828
2021-04-19,23.895069,32.328896,23.038942,30.499327,30.499327,2294383176155
2021-04-20,30.582966,31.563021,20.492844,24.106075,24.106075,2122441952017
2021-04-21,23.913918,26.213076,22.414724,23.151365,23.151365,959732890396
2021-04-22,23.080900,23.289553,19.243521,19.596518,19.596518,892077916017
2021-04-23,19.600670,20.153051,12.293149,18.605471,18.605471,1210288457252
2021-04-24,18.682949,21.666416,17.211569,20.230602,20.230602,827873167076
2021-04-25,20.198944,21.620081,16.952681,18.800257,18.800257,512841884703
2021-04-26,18.598410,20.438234,18.598429,20.045494,20.045494,540195848192
